1,Uzņēmuma SIA EDS finansiālās darbības analīze un pilnveides iespējas.,"Pētījumā tiek analizēta SIA EDS finansiālā darbība, izvērtējot uzņēmuma darbības rentabilitāti, naudas plūsmas un finansiālo stāvokli. Izmantojot dažādus analīzes rīkus, tiek aplūkotas uzņēmuma iespējas uzlabot savu finansiālo stāvokli un palielināt rentabilitāti. Pētījuma rezultāti uzrāda konkrētas pilnveides iespējas, kuras uzņēmums var izmantot savas finansiālās darbības uzlabošanai.",1
2,SIA “Bee Bite ” produktu izplatīšanas nodrošināšanas iespējas Latvijas tirgū.,"Pētnieciskais darbs analizē SIA ""Bee Bite"" produktu izplatīšanas iespējas Latvijas tirgū. Darba mērķis ir izvērtēt uzņēmuma esošo izplatīšanas stratēģiju un ieteikt efektīvākas pieejas produktu popularizēšanai Latvijas tirgū. Darbā tiek veikta tirgus analīze, apskatot konkurentu piedāvājumu un patērētāju pieprasījumu. Tiek izpētīta arī SIA ""Bee Bite"" produktu kvalitātes un cenas loma tirgus veidošanā. Darbs ietver arī priekšlikumus un iespējas uzņēmumam, kas varētu uzlabot produktu izplatīšanas efektivitāti un veicināt uzņēmuma izaugsmi Latvijas tirgū.",1
3,Biznesa procesu pārvaldības pilnveidošana uzņēmumā SIA “Summus”.,"Pētījuma mērķis ir uzņēmuma biznesa procesu pārvēršana efektīvākā un efektīvākā veidā, izmantojot procesu pārvaldības sistēmas. Darbā tiek analizēti pašreizējie biznesa procesi, identificējot tos, kuriem ir nepieciešama uzlabošana. Tiek izstrādāta procesu pārvaldības sistēma, kas tiek implementēta uzņēmumā un novērtēta tās ietekme uz uzņēmuma efektivitāti. Pētījuma rezultāti norāda, ka jaunā sistēma uzlabo uzņēmuma darbību un izraisa pozitīvas pārmaiņas tajā. Šis pētījums ir svarīgs, lai uzņēmumi varētu efektīvāk pārvaldīt savus biznesa procesus un uzlabot savu produktivitāti un efektivitāti.",1
4,SIA “Pindstrup Latvia” finansiālās darbības analīze un pilnveides iespējas.,"Uzņēmuma ""Pindstrup Latvia"" finansiālās darbības analīze sniedz ieskatu uzņēmuma finansēs un uzņēmējdarbības veiktspējā. Pētījums atklāj, ka uzņēmuma pamatdarbība ir saistīta ar substrātu ražošanu lauksaimniecības nozarē, kas dod stabilu ienākumu plūsmu. Tomēr, uzņēmuma ienesīgums ir samazinājies, to skaidro fakts, ka augsnes substrātu segmentā ir ievērojams konkurences spiediens. Pētījums izvirza priekšlikumus un pilnveides iespējas, kas varētu uzlabot uzņēmuma finansiālo stāvokli, tostarp ilgtspējīgas stratēģijas izveide, meklēt jaunus tirgus, attīstīt kvalitatīvākas produktu līnijas un optimizēt ražošanas procesus.",1
5,Uzņēmuma SIA “Filigran” darbības paplašināšanās iespējas Kurzemē.,"Pētījums aplūko uzņēmuma SIA ""Filigran"" iespējas paplašināt savu darbību Kurzemē. Darba ietvaros tiek veikta gan teorētiskā, gan praktiskā analīze, lai identificētu uzņēmuma iespējas ienākumu palielināšanai, kā arī izpētīti konkrēti Kurzemes reģiona faktori, kas varētu ietekmēt uzņēmuma darbību. Pētījuma rezultāti sniedz ieteikumus uzņēmumam ""Filigran"" attiecībā uz darbības paplašināšanu Kurzemē un iespējamu konkurences priekšrocību izmantošanu.",1
6,"Uzņēmuma SIA ""Zivtiņa"" kredītspējas analīze un tās noteikšana","Pētījuma mērķis ir veikt SIA ""Zivtiņa"" kredītspējas analīzi, pamatojoties uz finanšu rādītāju novērtējumu un riska faktoru identificēšanu. Pētnieciskajā darbā tiek izmantota gan kvalitatīvā, gan kvantitatīvā analīze, lai noskaidrotu uzņēmuma kredītspēju, tās stiprās un vājās puses, kā arī ieteikumi un pasākumi, kuri veicinātu uzņēmuma finanšu stabilitāti un kredītspēju. Pētījuma rezultāti tiek balstīti uz attiecīgajiem ekonomikas, finanšu un uzņēmējdarbības teorētiskajiem aspektiem, kā arī uz datu analīzi un interpretāciju.",1
7,Uzņēmumu ienākuma nodokļa aprēķināšanas kārtība pēc “nodokļu reformas” ieviešanas Latvijā un tās salīdzināšana ar ES dalībvalstīm,"Pētījums sniedz ieskatu uzņēmumu ienākuma nodokļa aprēķināšanas kārtībā Latvijā pēc “nodokļu reformas” ieviešanas un to salīdzinājumu ar citām ES dalībvalstīm. Tiek analizēts nodokļa likmes un atvieglojumu ietekme uz uzņēmumu finanšu situāciju un konkurētspēju. Pētījums vērsts uz ekonomikas un nodokļu politikas jomām, sniedzot informāciju par Latvijas uzņēmējdarbības vidi un paraugiem citās valstīs. Rezultāti var tikt izmantoti, lai attīstītu ekonomikas politiku un uzņēmējdarbības vidi Latvijā.",1
8,Atkritumu apsaimniekošanas un pārstrādes nozares vērtējums Latvijā,"Pētījumā tiek veikts atkritumu apsaimniekošanas un pārstrādes nozares vērtējums Latvijā. Analizējot valsts politiku un tiesību aktus, tiek novērtēta to piemērošana reālajā dzīvē, kā arī izpētītas dažādu uzņēmumu aprites un darbības procesi. Tiek novērtētas arī sabiedrības izpratne un attieksme pret atkritumu pārstrādi un šīs nozares ekonomiskais potenciāls. Rezultātu analīze sniedz iespējamas ieteikumus, kā uzlabot atkritumu apsaimniekošanas un pārstrādes nozares darbību un efektivitāti Latvijā.",1
9,Pievienotās vērtības nodokļa apgrieztās maksāšanas kārtības pielietojuma analīze,"Veicot analīzi par piemērošanu apgrieztās maksāšanas kārtības PVN jomā, šajā pētniecības darbā tiek izvērtēta tās ietekme uz uzņēmumu finansiālo stāvokli un administratīvo procesu sarežģītību. Lai sasniegtu šo mērķi, tiek analizēti dokumenti, kas izskaidro apgrieztās maksāšanas kārtības darbības principus, un tiek apkopoti dati no uzņēmumiem, kas jau izmanto šo kārtību. Darbā tiek izvērtētas gan priekšrocības, gan trūkumi, ko piedāvā apgrieztās maksāšanas kārtības pielietošana, lai noteiktu tās efektivitāti un potenciālu uzņēmumu darbības uzlabošanai.",1
10,Latvijas mazo alus darītavu perspektīvās attīstības iespēju novērtējums,"Pētījums aplūko Latvijas mazo alus darītavu potenciālu attīstīties, analizējot tirgus tendences un pieprasījumu, kā arī tirgus dalībniekus. Turklāt tiek novērtēta arī mazo alus darītavu konkurētspēja, uzņēmējdarbības riski un iespējas veidot jaunus produktus un zīmolus. Pētījuma mērķis ir sniegt ieskatu mazo alus darītavu attīstības iespējās un izaicinājumos Latvijā.",1
11,Maksātnespējas prognozēšana Latvijas uzņēmumos,"Izpētīts maksātnespējas prognozēšanas process Latvijas uzņēmumos. Veikta literatūras un datu analīze. Identificēti faktori, kas var ietekmēt uzņēmuma maksātnespēju, to skaitā finansiāli un operacionāli rādītāji. Izstrādāts prognozēšanas modelis, izmantojot mašīnmācīšanās algoritmus, lai novērtētu uzņēmumu nākotnes finansiālo situāciju un maksātnespējas risku. Veikta modela validācija ar reāliem datiem. Iegūtie rezultāti var būt noderīgi uzņēmējiem un finanšu institūcijām, kā arī valsts iestādēm, kas risina maksātnespējas jautājumus.",1
12,Tālpārdošana kā specifisks pievienotās vērtības nodokļa institūts preču piegādes darījumos,"Pētījuma mērķis ir izvērtēt tālpārdošanu kā veidu preču piegādes darījumu veikšanai un tās ietekmi uz pievienotās vērtības nodokli. Darbs fokusējas uz specifiskajiem nodokļa aspektiem, kuriem jābūt ņemtiem vērā, lai noteiktu, vai un kā tālpārdošana ir jāapliek ar pievienotās vērtības nodokli. Tiek izmantota gan literatūras apskate, gan empīriskās metodes, lai iegūtu dati par uzņēmumu praksi tālpārdošanas jomā. Galvenie secinājumi būs vērsti uz preču tālpārdošanas nodokļošanas specifikāciju un ietekmēm uz uzņēmējdarbību.",1
13,Uzņēmumu ienākuma nodoklis Latvijā un tā noteikšanas reformas ietekme uz uzņēmējdarbību,"Pētījums analizē uzņēmumu ienākuma nodokļa sistēmu Latvijā un tās reformas ietekmi uz uzņēmējdarbību. Pētījuma mērķis ir izprast, kādas ietekmes nodokļa reformas ir atstājušas uz uzņēmumu ienākumiem, uzņēmējdarbības apjomiem un ekonomiku kopumā. Pētījumā tika izmantoti kvantitatīvie un kvalitatīvie pētniecības metodoloģiskie instrumenti, piemēram, datu analīze un uzņēmēju aptaujas. Izpētītā informācija var būt noderīga, lai izprastu, kādas pārmaiņas ir nepieciešamas nodokļu sistēmā, lai atbalstītu uzņēmumu attīstību un veicinātu ekonomikas izaugsmi Latvijā.",1
14,"SIA ""A"" finansiālā stāvokļa novērtējums un attīstības perspektīvas","Analizējot SIA ""A"" finansiālo stāvokli, pētījums sniedz detalizētu aprakstu par uzņēmuma esošo situāciju, kā arī prognozē tā turpmāko attīstību. Pētījuma gaitā tika veikta finansiālās analīzes sistēmiska izvērtēšana, lai novērtētu uzņēmuma finansiālo stāvokli. Izstrādājot attīstības perspektīvas, tiek analizēti faktori, kas var ietekmēt uzņēmuma izaugsmi un konkurētspēju. Pētījuma secinājumi un ieteikumi nodrošina konkrētas darbības, kas jāveic, lai uzņēmums būtu veiksmīgs un efektīvs attīstības posmā.",1
15,Fundamentālās un tehniskās analīzes pielietošana valūtu kursa prognozēšanā,"Pētījuma mērķis ir izvērtēt fundamentālās un tehniskās analīzes efektivitāti valūtu kursa prognozēšanā. Darbā tiek apskatīti gan fundamentālās, gan tehniskās analīzes pamatprincipi un metodes, kā arī to ietekme uz valūtu kursiem. Tiek veikts eksperiments, kurā tiek salīdzinātas abu analīžu metodes un to rezultāti valūtu kursa prognozēšanā. Pētījumā tiek izmantotas dzēšanas metodes, lai novērstu statistiskas kļūdas, un tiek analizēti dažādu faktoru ietekme uz valūtu kursiem. Rezultāti parāda, ka gan fundamentālās, gan tehniskās analīzes piegājieni var dot precīzas un pamatotas valūtu kursa prognozes.",1
16,SIA Optic Guru iekšējās kontroles elementu novērtējums pēc Valsts kases izstrādātajām iekšējās kontroles vadlīnijām,"Pētījumā tiek veikts SIA Optic Guru iekšējās kontroles elementu novērtējums atbilstīgi Valsts kases izstrādātajām iekšējās kontroles vadlīnijām. Tiek analizētas SIA Optic Guru darbības jomas, identificētas galvenās riska jomas un izvērtētas esošās kontroles sistēmas. Pētījuma rezultāti palīdzēs uzlabot SIA Optic Guru kontrolējošo struktūru un samazināt iespējamos riskus, veicinot uzņēmuma ilgtspējīgu attīstību.",1
17,Korporatīvo obligāciju emisijas procesa analīze un tā pilnveidošana Latvijā,"Pētījuma mērķis ir analizēt korporatīvo obligāciju emisijas procesa veidošanos Latvijā un to pilnveidot, lai uzlabotu emisijas efektivitāti un efektivitāti uzņēmumu finansēšanas jomā. Pētījuma pamatā ir teorētiskā analīze par emisijas procesu, kā arī dažādu uzņēmumu emisijas procesu sarežģītības un to ietekmi uz finanšu tirgu. Pētījums ietver arī aptauju, lai iegūtu Latvijas uzņēmumu viedokli par emisijas procesa īstenošanu un pētīt to problēmas. Analīzes un aptaujas rezultātos piedāvāti risinājumi par emisijas procesa uzlabošanu, lai nodrošinātu efektīvāku uzņēmumu finansēšanu.",1
18,"Darba samaksa un darba samaksas sistēmas izpēte uzņēmumā SIA ""ABC""","Pētījuma galvenais mērķis ir izpētīt SIA ""ABC"" darba samaksa un to, kā tās tiek organizētas un izstrādātas. Darba gaitā tiks analizētas dažādas darba samaksas sistēmas un to ietekme uz darba devēja un darbinieku attiecībām. Pētījuma rezultāti sniegs ieskatu uzlabojumu, kas vajadzīgi, lai optimizētu darba samaksas sistēmu SIA ""ABC"" un palielinātu darbinieku motivāciju. Galvenie pētījuma metodoloģiskie instrumenti būs intervijas, aptaujas un datu analīze, kas dos iespēju iegūt zināšanas, lai veiksmīgi izstrādātu visaptverošu novērtējumu par darba samaksas sistēmām SIA ""ABC"".",1
19,Finanšu pieejamība lauksaimniecības nozarē Latvijā,"Pētījums analizē finanšu pieejamības situāciju lauksaimniecības nozarē Latvijā. Darba mērķis ir izpētīt kredītu un atbalsta programmu pieejamību lauksaimniekiem, kā arī novērtēt to izmantošanas efektivitāti. Pētījuma metodoloģijā tika izmantotas kvalitatīvas un kvantitatīvas analīzes metodes, kā arī intervijas ar lauksaimniekiem un finanšu ekspertiem. Rezultāti liecina, ka finanšu pieejamība joprojām ir zema, un lauksaimniekiem ir ierobežotas iespējas saņemt finansējumu, kas ierobežo to attīstības potenciālu. Darbā ieteikts veikt vairāk pasākumu, lai uzlabotu finanšu pieejamību lauksaimniecības nozarē Latvijā.",1
20,Iedzīvotāju ienākuma nodoklis,"Pētījums vērsts uz iedzīvotāju ienākuma nodokļa analīzi un tā ietekmi uz Latvijas ekonomiku. Pētījumā tiek apskatītas nodokļa ieviešanas priekšrocības un trūkumi, kā arī tā iespējamās sekas uz indivīdu un uzņēmumu finansiālo stāvokli. Lai izpētītu tēmu, tiek veikta gan teorētiskā, gan praktiskā analīze, ietverot sistemātisku datu apkopošanu no valdības un privātām organizācijām, kā arī interviju ar ekspertiem šajā jomā. Pētījuma rezultāti sniedz ieskatu potenciālos risinājumos, lai uzlabotu Latvijas nodokļu sistēmu un nodrošinātu taisnīgāku iedzīvotāju ienākuma nodokļa aprēķina metodi.",1
21,Sauszemes transportlīdzekļu brīvprātīgā apdrošināšana Latvijā (KASKO) Latvijā un tās analīze,"Pētījums vēsta par sauszemes transportlīdzekļu brīvprātīgo apdrošināšanu Latvijā, ar fokusu uz KASKO apdrošināšanas veidu. Darbā tiek veikta tās analīze, kā arī izpētīti sauszemes transportlīdzekļu īpašnieku uzskati un vēlmes attiecībā uz apdrošināšanas jomu. Izmantoti gan kvantitatīvie, gan kvalitatīvie pētniecības metodoloģijas risinājumi, lai iegūtu plašu un objektīvu izpratni par šo jautājumu. Darba rezultāti un secinājumi varētu būt izmantojami, lai uzlabotu Latvijas transportlīdzekļu apdrošināšanas sistēmu un piedāvātu vēl vairāk piemērotus risinājumus transportlīdzekļu īpašniekiem.",1
22,SIA “ Limbažu siltums” finanšu analīze,"Pētījumā tiek veikta SIA “Limbažu siltums” finanšu analīze. Analizējot uzņēmuma finanšu stāvokli pētījumā tiek noteikta uzņēmuma likviditātes, rentabilitātes un parādu apmierināšanas spējas rādītāju dinamika un salīdzinājums ar nozares vidējiem rādītājiem. Tiek analizēti arī uzņēmuma izmaksu struktūra, ieņēmumu un izdevumu dinamika, kā arī izdarīti secinājumi un ieteikumi uzņēmuma finanšu un ekonomiskās darbības uzlabošanai.",1
23,Apmācības platformas Moodle ieviešana uzņēmumā ECOMMPAY LIMITED,"Pētījuma mērķis ir izvērtēt apmācības platformas Moodle ieviešanas ietekmi uzņēmuma ECOMMPAY LIMITED darbībā. Darba ietvaros tiks apkopota informācija par Moodle funkcijām un atsauksmēm no citiem uzņēmumiem, kas jau izmanto šo platformu. Tiks veikta arī integrācija ar ECOMMPAY LIMITED esošo IT infrastruktūru un novērtēts ieguldījumu atdeve, izmantojot ekonomiskās analīzes metodes. Galvenais mērķis ir uzlabot uzņēmuma darbinieku apmācību procesu un produktivitāti, kā arī sniegt priekšrocības salīdzinājumā ar citām apmācības metodēm.",1
24,Rīgā esošo sakaru līdzekļu remontuzņēmumu finanšu analīze un perspektīvas,"Pētījuma mērķis ir veikt finanšu analīzi un izvērtēt perspektīvas Rīgā esošiem sakaru līdzekļu remontuzņēmumiem. Darba izstrāde ietver ekonomiskās situācijas analīzi nozarē, uzņēmumu darbības pamatindikatoru izpēti, kā arī tirgus un konkurentu analīzi. Tiek aplūkoti esošie riski un iespējamie attīstības scenāriji katram uzņēmumam atsevišķi, kā arī kopējā nozarē. Darba rezultāti ļauj identificēt uzņēmumu spējas attīstīties un piedāvāt priekšlikumus nākotnes darbības optimizēšanai un rentabilitātes palielināšanai.",1
25,Nekustamā īpašuma nodokļa piemērošanas un administrēšanas problēmas pašvaldības ietvaros,"Analizējot nekustamā īpašuma nodokļa piemērošanas un administrēšanas problēmas pašvaldības ietvaros, darbā tiek pētīts, kādas sistēmas problēmas un izaicinājumi rodas pašvaldībās, pievēršot uzmanību gan administratīvajiem, gan juridiskajiem aspektiem. Darbā tiek aplūkoti gan esošie aktuālie likumi un regulējumi, gan arī dažādas piemērotās prakses iespējas un risinājumi. Empīriskais pētījums, kas balstās uz pašvaldību rādītāju un nekustamo īpašumu datu analīzi, palīdzēs saprast aktuālo situāciju, kā arī sniegs priekšlikumus to uzlabošanai. Galvenais mērķis ir attīstīt stratēģiju, kas palīdzētu novērst problēmas un optimizēt nekustamā īpašuma nodokļa administrēšanu pašvaldībās.",1
26,"Autoservisa informācijas sistēmas pilnveidošana uzņēmumā SIA ""Auto Tech""","Darba mērķis ir pilnveidot SIA ""Auto Tech"" autoservisa informācijas sistēmu, lai uzlabotu servisa procesus un nodrošinātu efektīvāku darbību. Darbs ietver informācijas sistēmas analīzi, plānošanu, projektēšanu un ieviešanu, kā arī testēšanu un pielāgošanu uzņēmuma vajadzībām. Lai sasniegtu mērķus, tiks izmantotas projektēšanas metodes, piemēram, Agile, un programmatūras tehnoloģijas, piemēram, JavaScript, PHP, MySQL un AngularJS. Darba rezultātā tiks izveidota pilnveidotā autoservisa informācijas sistēma, kas ļaus uzņēmumam SIA ""Auto Tech"" efektīvāk pārvaldīt servisa procesus un nodrošināt klientu apmierinātību ar uzņēmuma pakalpojumiem.",1
27,AS “Virši – A” konkurētspējas analīze Latvijas tirgū,"Pētījuma mērķis ir veikt AS “Virši – A” konkurētspējas analīzi Latvijas tirgū, izmantojot SWOT analīzes metodi. Darbs apskata uzņēmuma pozīciju tirgū, tā produktu klāstu, patērētāju un konkurentu ietekmi, kā arī analizē uzņēmuma stiprās un vājās puses. Darbs ir nozīmīgs, lai uzņēmums varētu veiksmīgi konkurēt Latvijas tirgū un saglabāt savu pozīciju. Rezultāti šajā pētījumā var sniegt informāciju arī citiem uzņēmumiem, kuri vēlas iegūt priekšstatu par Latvijas tirgus situāciju.",1
28,Pārmaiņu vadības ieviešana uzņēmuma SIA “TAV LATVIA OPERATION SERVICES” saimnieciskās darbības pilveidošanai,"Pētījuma mērķis ir izpētīt pārmaiņu vadības ieviešanas ietekmi uzņēmuma SIA ""TAV LATVIA OPERATION SERVICES"" saimnieciskajā darbībā, lai pilveidotu to un uzlabotu efektivitāti. Darbā tiks veikta teorētiskā analīze par pārmaiņu vadības nozīmību un veidiem to ieviešanai uzņēmumā. Tiks veikta arī uzņēmuma pašreizējā situācijas analīze, kā arī intervijas ar darbiniekiem, lai noteiktu uzņēmuma vājās vietas un nepieciešamību pēc pārmaiņām. Pētījuma rezultāti tiks izmantoti, lai izstrādātu priekšlikumus pārmaiņu vadības ieviešanai uzņēmumā, kas pilveidos tās saimniecisko darbību un uzlabos efektivitāti.",1
29,"Darbinieku apmierinātība un motivācijas sistēma uzņēmumā SIA ""Papīrs un kafija""","Pētījumā tiek analizēta SIA ""Papīrs un kafija"" darbinieku apmierinātība un motivācijas sistēma. Pētījuma mērķis ir noskaidrot, kādas metodes tiek izmantotas, lai uzturētu darbinieku motivāciju un apmierinātību ar darbu un uzņēmuma vadību. Pētījuma metodoloģijā ir iekļauta aptauja un intervijas ar darbiniekiem, kā arī analīze uzņēmuma dokumentiem un secinājumi no iepriekšējiem pētījumiem šajā jomā. Pētījuma galvenie secinājumi būs noderīgi uzņēmumam, lai uzlabotu motivācijas sistēmu un iegūtu lojālus darbiniekus.",1
30,Mazu un vidēju uzbekistānas uzņēmumu eksports: Lauksaimniecības produktu pārbaude,"Uzņēmumiem Uzbekistānā, kam ir mazs un vidējs apjoms, var būt grūtības eksportēt savus lauksaimniecības produktus, jo tiem trūkst resursu un izpratnes par starptautiskajiem tirgiem. Šajā pētniecības darbā tiek veikta pārbaude, lai izvērtētu, kādi pasākumi var palīdzēt šiem uzņēmumiem veikt eksportu ar panākumiem. Pētniecība sniedz ieskatu par eksporta procesu, kā arī analizē mazu un vidēju uzņēmumu pieredzi. Pētījuma rezultāti ir vērsti uz atziņu iegūšanu par situāciju un priekšlikumiem, uzlabojot eksporta procesu mazu un vidēju uzņēmumu starpā, kas savukārt var palīdzēt palielināt Uzbekistānas eksportu lauksaimniecības produktu tajā valstī.",1
31,Mārketinga ietekmes nozīme patērētāju uzvedībā tūrisma produktiem,"Pētījuma mērķis ir analizēt mārketinga ietekmi uz patērētāju uzvedību tūrisma produktu jomā. Darbā tiek izmantota literatūras apskate, kā arī tiek veikta anketēšana starp patērētājiem tūrisma nozarē, lai izprastu to uzvedību, izvēloties produktus. Rezultāti liecina, ka mārketinga ietekme ir būtiska faktora, kas ietekmē patērētāju izvēli. Tā rezultātā darbā tiek ierosināti priekšlikumi par mārketinga stratēģiju tūrisma nozarē, lai maksimāli efektīvi piesaistītu patērētājus un veicinātu jau esošo klientu lojalitāti. Pētījums sniedz ieguldījumu praktiskajā mārketinga plānošanā un strategijas veidošanā tūrisma nozarē.",1
32,Uzņēmējdarbības uzsākšanas iespējas Ķemeros,"Pētījums apskata uzņēmējdarbības iespējas Ķemeros. Tiek analizēta pašreizējā situācija, kā arī noteiktas iespējas jaunu uzņēmumu uzsākšanai šajā teritorijā. Vērtēti potenciālie klientu pieprasījumi, izmantotie kanāli un konkurējošie uzņēmēji Ķemeru novadā. Pētījuma rezultātos ir apkopots informācijā par optimāliem uzņēmējdarbības veidiem, atbilstoši Ķemeru novada vajadzībām un resursiem. Atslēgas vārdi: uzņēmējdarbības iespējas, Ķemeri, konkurence, klientu pieprasījums, uzņēmējdarbības veidi.",1
33,Organizatoriskie aspekti droša elektroniskā paraksta ieviešanai organizācijā,"Pētījuma mērķis ir izvērtēt organizatoriskos aspektus, kas jāņem vērā ieviešot drošu elektronisko parakstu organizācijā. Pētījuma laikā izmantota kvalitatīvā un kvantitatīvā metode, kā arī veikta dokumentu analīze. Tika secināts, ka svarīgi ņemt vērā darbinieku kompetences, drošības pasākumus un juridisko regulējumu elektroniskās parakstīšanas jomā. Pētījuma rezultāti var būt noderīgi organizācijām, kas plāno ieviest elektronisko parakstu.",1
34,Piegādes ķēdes vadības efektivitātes novērtējums mazumtirdzniecības zīmolos: IKEA piemērs,"Pētījums veltīts piegādes ķēdes vadības efektivitātes novērtēšanai mazumtirdzniecības zīmolos, konkrēti - IKEA. Darbā tiek analizēti faktori, kas ietekmē uzņēmuma piegādes ķēdes vadības procesu un to optimizācijas iespējas. Īpaša uzmanība tiek pievērsta piegāžu laika un izmaksu samazināšanas metodēm, kā arī komunikācijas un sadarbības uzlabošanai ar piegādātājiem. Pētījums balstīts uz kvantitatīvām un kvalitatīvām datu analīzēm, kā arī intervijām ar uzņēmuma vadītājiem un piegādātājiem. Rezultātos atklāts, ka pareizi vadīta piegādes ķēde var ievērojami uzlabot uzņēmuma efektivitāti un konkurētspēju.",1
35,"Uzņēmuma GEMOSS darbības stratēģijas analīze, novērtēšana un tās attīstības iespējas","Pētījumā tiek analizēta uzņēmuma GEMOSS darbības stratēģija, novērtējot tās stiprās un vājās puses, kā arī iespējas turpmākai attīstībai. Pētījuma ietvaros tika izmantotas dažādas metodes, piemēram, SWOT analīze, finanšu analīze un intervijas ar uzņēmuma vadību. Pētījuma rezultāti liecina, ka uzņēmumam ir daudz iespēju turpmākai izaugsmei, izmantojot efektīvāku mārketinga stratēģiju un inovatīvākas produktu attīstības pieejas. Rekomendācijas tika izstrādātas, lai uzņēmums varētu uzlabot savu konkurētspēju un sasniegt augstākas peļņas rādītājus nākotnē.",1
36,Latvijas komercbanku un komersantu sadarbības pilnveides iespējas,"Izmantojot analīzes un interviju metodes, bakalaura darba ietvaros tiek izpētītas Latvijas komercbanku un komersantu sadarbības iespējas. Darba mērķis ir identificēt esošās sadarbības problēmas un piedāvāt risinājumus to uzlabošanai, tādējādi veicinot gan banku, gan komersantu biznesa attīstību Latvijā. Darba gaitā tiek apskatīti arī saistošie tiesību akti un regulējumi, kas ietekmē šo sadarbības veidu. Darbs ir nozīmīgs gan uzņēmējdarbības profesionāļiem, gan arī valsts un sabiedrības interesēm, veicinot ekonomisku izaugsmi un attīstību kopumā.",1
